SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
639.00	fast	TPAFT	TPAF	"I also added in TPA*F for ""faster."" Note that you can use TPAFPB for ""fasten."""		"A bullet train PAF-s (passes) by you at a very fast speed on its way to TOKYO (T-). (PAF is an addition for ""pass."")"		777				1 - NGSL	Top1K	631	308	4.000		5		4
640.00	attack	A/TABG	TAEG	"I also added in TA*EG for ""attacking"" and TA*ERG for ""attacker."""		"An overzealous child attacks the person who's ""it"" during a game of TAEG (tag), sending him to the ACCIDENT & EMERGENCY DEPARTMENT (AE)."		778				1 - NGSL	Top1K	632	309	4.000		5	2	6
641.00	foreign	TPOERPB	-RPB			No disease is foreign to an RN (R.N.) who has 40 years of experience.		779				1 - NGSL	Top1K	633	30A	3.000		7		7
642.00	surprise	SPRAOEUS	SP-F			"Make sure to put on a high-SP-F (SPF) sunscreen when you're visiting Texas in the winter, since the strength of the sun in December and January will surprise you."		780				1 - NGSL	Top1K	634	30B	3.000		8		8
643.00	feature	TPAOEFP	TUR			"TUR is German for ""door."" A TUR is a feature that almost every house has, whether it's in Germany or not."		781				1 - NGSL	Top1K	635	30C	3.000		7		7
644.00	factor	TPARBGT	TPER	"I also added in TPERD for ""factored,"" which overwrites ""for the record,"" for which I added in TP*ERD; TPERS for ""factors""; and TPERG for ""factoring."""		Video games are a pretty big factor in TOKYO (T-)'s economy; there is at least one video game console PER (per) person there.		782				1 - NGSL	Top1K	636	30D	4.000		7		6
645.00	pretty	PREUT	PRET			Would you choose a sandwich at PRET (Pret) a Manger based on how pretty it looks?		783				1 - NGSL	Top1K	637	30E	4.000		5		6
646.00	recently	RAOEPBLT	R-FPL	"R-FPL is based on the addition of R-FP for ""recent."""				784				1 - NGSL	Top1K	638	30F	4.000		8		8
647.00	affect	AFBGT	AEFP	"I also added in A*EFP for ""affective"" and both AEFPL and A*EFPL for ""affectively."""		"For ACCIDENT & EMERGENCY DEPARTMENT (AE) doctors, AEFP (each) day is a chance to affect someone's life in a positive way."		785				1 - NGSL	Top1K	639	310	4.000		5		6
648.00	drop	TKROP	TROP	"I also added in TRO*RP for ""dropper."""		Your stress may drop a lot if you take a trip to a TROP-ical (tropical) location.		786				1 - NGSL	Top1K	640	311	4.000		5		4
649.00	recent	RAOEPBT	R-FP		"Regarding RAOEPBT: Sometimes you can drop the C from two-syllable words with a strong E sound (and maybe on other occasions too). C.f. TKAOEPBT for ""decent."""	"The R-FP (arch) is by no means a recent invention. Arches have been in use for over 3,500 years."		787				1 - NGSL	Top1K	641	312	3.000		7		6
650.00	relate	RELT	RURP	"RURP makes it easier to write ""related"" and ""relates."" I also added in RURPT for ""related to""; R*URP for ""relate to""; R*URPG for ""relating to""; R*URPS for ""relates to""; and R*URPD as another way to write ""related to."""		"An amusement park RUP-s (replaces) an old ROLLER COASTER (-R) with a new ride because visitors just didn't relate to the older one. (RUP is an addition for ""replace."")"	"Each RELT (relt--pretend that's slang for 'relative') in your family should be able to relate to each other, since they are connected by blood or by family. "	788				1 - NGSL	Top1K	642	313	4.000		4		6
651.00	official	TPEURBL	OFL			An elected official makes a major gaffe on the campaign trail when he refuses to eat a plate of OFL (offal) that a supporter made for him.	"After the elections are complete and a trout won a spot on the city countil, everyone agrees that a TPEURBL (fish'll) make for an interesting official. I guess he would adopt a conservationist agenda?"	789				1 - NGSL	Top1K	643	314	3.000		7		8
652.00	financial	TP-PBL	TP-PL	"TP-PL overwrites one way to write {.}. I also added in TP-PLS for ""financials,"" which overwrites {^s}{.}"		Those in PL (Poland) believe that using TP (toilet paper) to cover someone's house or tree is an example of financial mismanagement. They point out that there are much better uses for that toilet paper.		790				1 - NGSL	Top1K	644	315	4.000		5		9
653.00	miss	PHEUS	PH-FL	"PH-FL overwrites ""(muffled speech),"" for which I added in PH*FL"		I don't think that many people miss the days in which countries raced to stockpile nuclear M-FLs (missles).		791				1 - NGSL	Top1K	645	316	4.000		5		4
654.00	art	ART						792				1 - NGSL	Top1K	646	317	3.000		3		3
655.00	campaign	KPAEUPB	KUL	"KUL overwrites ""cull,"" for which I added in K*UL. I also added in KULD for ""campaigned,"" which overwrites ""culd,"" for which I added in KAO*LD."		"A nuclear power plant lox launches a ""It's KUL (Cool) To Use URANIUM (U)"" campaign in an attempt to shift public opinion."	Any electoral campaign ends in lots of PAEUPB (pain) for the candidate who lost.	793				1 - NGSL	Top1K	647	318	3.000		7		8
656.00	private	PRAOEUFT	PR-F	"I also added in PR-FL for ""privately."" "		"The PR team for a candidate refuses to answer questions about a report that the politician earned all Fs in college, saying that that's ""part of his private life."""		794				1 - NGSL	Top1K	648	319	3.000		8		7
657.00	thousand	THOUZ	THOG	"I also added in THOGS for ""thousands."""		"If you want to open a pork farm with a thousand HOG-s (hogs), TOKYO (T-) probably isn't an ideal location, given the cost of real estate."		795				2 - Sup	Top1K		31A	4.000		5		8
658.00	pause	PAUS	PAUF	"PAUF overwrites ""payoff,"" for which I added in PA*UF. PAUF fits better with PAUFS, PAUFG, and PAUFD for ""pauses,"" ""pausing,"" and ""paused,"" respectively."		"It's hard to pause eating FRENCH FRIES (-F), so think twice before you eat your first one."		796				1 - NGSL	Top1K	649	31B	4.000		4		5
659.00	everyone	EFRPB	EPG			An Electronic Program Guide (EPG) lets everyone find something to watch on TV.		797				1 - NGSL	Top1K	650	31C	3.000		5		8
660.00	forget	TPORGT	TPEG	"I also added in TP*EG for ""forgetting""; TPEPBG for ""forgotten""; and TPEFG for ""forgetful."""		"A FE (father) gets upset at his son, a shepherd, for forgetting 30 GOATS (-G) in the hills overnight. (TPE is an addition for ""father."")"		798				1 - NGSL	Top1K	651	31D	4.000		6		6
660.01	forgot	TPO*RGT	TPEGD	"TPEGD is based on the addition of TPEG for ""forget."""				799				5 - Derivative of NGSL root word	Top1K	651.01	31E	5.000		7		6
661.00	page	PAEUPBLG	PAG	"Use PAGZ for the plural to avoid a conflict with KAOUF for ""conflict."""				800				1 - NGSL	Top1K	652	31F	3.000		8		4
662.00	worry	WOER				"If someone does nothing but worry out loud all day, he or she becomes a WOER (WOE-r)--someone who unintentionally spreads woe to others."		801				1 - NGSL	Top1K	653	320	4.000		4		5
663.00	summer	SAOURPL	SUR	"SRU overwrites ""Sur,"" for which I added in SAO*UR. I also added in SURS for ""summers,"" which overwrites ""sincerely yours{,},"" for which I added in SURZ."		Big SUR (Sur) would be a beautiful place to spend the summer.		802				1 - NGSL	Top1K	654	321	3.000		7		6
664.00	drink	TKREU	TKUR	"TKUR overwrites ""dur."" I also added in TKURD for ""drank"" and TKURG for ""drinking,"" which overwrites ""during,"" for which I added in TK-G. I also added in TK*UR for ""drinker."""		I prefer to drink out of steel water bottles because they're much more DUR-able (durable) than are plastic cups.		803				1 - NGSL	Top1K	655	322	4.000		5		5
665.00	opinion	P-PB		P-N				804				1 - NGSL	Top1K	656	323	3.000		3		7
666.00	park	PARBG	PR-BG or P-RBG	"PR-BG overwrites ""PRK."" I also added in PR-BGS for ""parks,"" which overwrites one way to write ""proximate."" P-RBG overwrites ""punishing."" I added in PUFP for ""punish,"" so I use PUFPG for ""punishing."" I also added in P-RBGS for ""parks,"" which overwrites one way to write {>}{&p}."		I never would have expected to see the BGs (Bee Gees) playing PING PONG (P-) in a park in the heart of RUSSIA (R-).		805				1 - NGSL	Top1K	657	324	4.000		5		4
667.00	represent	REPT	REP	"REP overwrites ""rep,"" for which I added in R*EP. (I also added in R*EPS for ""reps,"" which overwrites one way to write ""receptors."")"		A sales REP (rep) probably won't perform very well if he represents his products in a negative light.	"You represented your football team well at the weightlifting comfetition--you took a 200-pound barbell and REPT (rep-ed) 30 times! (A ""rep"" is a term for lifting a weight. Not that I have much experience with that.)"	806				1 - NGSL	Top1K	658	325	3.000		4		9
668.00	key	KAOE			in these			807				1 - NGSL	Top1K	659	326	4.000		4		3
669.00	inside	TPH-DZ	TPH-Z		"With regard to the original outline: note that ""DZ"" works as a ""side"" or ""cide"" suffix in some briefs."	A trip inside NZ (New Zealand) is an unforgettable experience.		808				1 - NGSL	Top1K	660	327	4.000		5		6
670.00	manager	PHARPBG	PH-RP or PHR-P	"These additions are based on the addition of PH-P for ""manage."" I also added in both PH-RPL (which overwrites ""millimeters of mercury"") and PHR-PL for ""managerial."""				809				1 - NGSL	Top1K	661	328	4.000		7		7
671.00	international	TPHA*EL	-PBL			NL (Nuevo Laredo) seeks to become the next big international tourist destination for Americans.	"An international treaty is signed to ban using PORCUPINE (*) needles as NAEL-s (nails), which will cut down on hunting of the critters."	810				1 - NGSL	Top1K	662	329	3.000		7		13
672.00	seven	SEFPB	SEB	"SEB overwrites ""seb."""		"If someone listens to SEB (Super Eurobeat) seven days in a row, that suggests they're enjoying it quite a lot."		811				2 - Sup	Top1K		32A	3.000		5		5
672.01	seventh	S*EPBT	S*EB	"S*EB is based on the addition of SEB for ""seven."""			"Seventh grade, the start of middle school, is a time when many people are bullied. For instance, people may be SEPBT (sent) a dead PORCUPINE (*) in the mail."	812				5.2 - Sup (no frequency data)	Top1K		32B	4.000		6		7
673.00	contain	TAEUPB	KOUR	"KOUR overwrites one way to write ""cower."" I also added in KOURT for ""containment"" and KOURS (which overwrites one way to write ""course"") for ""contains."" In addition, I added in KOURD for ""contained,"" which overwrites ""coward,"" for which I added in KO*URD."		It takes courage to contain a fire instead of KOUR-ing (cowering) in front of it.	"It's going to be a great day when your glass contains the juicy, fruity goodness of TAEUPB (Tang)!"	813				1 - NGSL	Top1K	663	32C	4.000		6		7
674.00	eight	AET				"If you work at an ACCIDENT and EMERGENCY DEPARTMENT (AE), your shifts will probably be a lot longer than eight hours."		814				2 - Sup	Top1K		32D	3.000		3		5
674.01	eighth	A*ET						815				5.2 - Sup (no frequency data)	Top1K		32E	4.000		4		6
675.00	notice	TPH-TS	TPH-P	"TPH-P overwrites ""under,"" for which I added in UPBD. I also added in TPH-PBL for ""noticeable"" and TPH-D (which overwrites one way to write ""inspected"") for ""noticed."")"		"If you notice a gas leak, don't just say ""NP"" (no problem)!"	"Let's pretend that NTS is National Toll Services. You get a ""NOTICE"" in the mail saying that you have 10 overdue toll bills amounting to $175.55! What a horrible notice!"	816				1 - NGSL	Top1K	664	32F	4.000		5		6
676.00	wonder	WOPBD	WOPB	"WOPB overwrites ""won,"" for which I added in WUPB, which overwrites one way to write ""one."" I also added in WOPBG for ""wondering,"" which overwrites ""Wong,"" for which I added in WA*UPBG, and WOPBD for ""wondered,"" which overwrites the original outline for ""wonder."""		You don't need to wonder who WON the War of 1812. Just look it up on Wikipedia.		817				1 - NGSL	Top1K	665	330	4.000		5		6
677.00	nature	TPHAEURT	AUR	"AUR overwrites the {or^} prefix, for which I added in A*UR."		Even a solid GOLD (AU) ROLLER COASTER (-R) cannot compare with some of the most beautiful sights in nature.	It was a pleasure to hear David Attenborough TPHAEURT (narrate) the nature series Planet Earth.	818				1 - NGSL	Top1K	666	331	3.000		8		6
678.00	structure	TRAOUFP	STRU			The structure of a raspberry STRU-del (strudel) matters much less than its taste.	"It's TRAOU (true) that CH (Switzerland--CH is its country code) has some really impressive dam structures, including the Contra Dam--which James Bond jumped off in Goldeneye."	819				1 - NGSL	Top1K	667	332	4.000		7		9
679.00	section	SEBGS	SHUB	"I also added in SHUBL for ""sectional"" and SHUBG for ""sectioning,"" which overwrites ""shuck,"" for which I added in SH*UBG."		"The SPACE SHUTTLE (S-)'s HUB-caps (hubcabs) are a very important section of the vessel, as they help ensure a safe landing."		820				1 - NGSL	Top1K	668	333	4.000		5		7
680.00	myself	PHAO*EUS	KWR-F	Y-F		"A despondent fellow laments to you: ""I often ask myself why I can't find a Y-F (wife)."""		821				1 - NGSL	Top1K	669	334	4.000		8		6
681.00	exactly	ELG			"It appears that –LG sometimes functions as a KL sound. Note the original outlines of WAOELG for “weekly,” SROELG for “vocal”, HREULG for ""likely,"" and ELG for “exactly.”"	"Your friend tells you: ""This E-washing machine from LG is exactly what I need right now! It lets me check my email and watch Youtube."""		822				1 - NGSL	Top1K	670	335	3.000		3		7
682.00	plant	PHRAPBT	PUF	"PUF overwrites ""puff,"" for which I added in P*UF. I also added in PUFG for ""planting"" and PUFD for ""planted."""		Isn't it great that plants PUF (puff) out oxygen?		823				1 - NGSL	Top1K	671	336	3.000		7		5
683.00	paint	PAEUPBT	P-FP	"P-FP overwrites one way to write a period. I also added in P-FPGS for ""paintings."""		An artist is commissioned to paint various beautiful scenes along the P-CH (Pacific Coast Highway).		824				1 - NGSL	Top1K	672	337	3.000		7		5
684.00	worker	WRORBG	W-RBG	"W-RBG is based on the addition of W-BG for ""work."""				825				1 - NGSL	Top1K	673	338	4.000		6		6
685.00	press	PRES	PREF	"PREF overwrites ""pref,"" for which I added in PR*EF. I also added in PREFS for ""presses,"" which overwrites ""preface,"" for which I added in PR*EFS. I prefer to use outlines for verbs that end in F to outlines that end in S, as this makes the verb's different endings (e.g. PREFD for ""pressed,"" PREFS for ""presses,"" and PREFG for ""pressing"") much easier to write and more intuitive. "	"If you use PRES, you may also want to add in PRESZ for ""presses,"" which overwrites another way to write ""press""; PREGS for ""pressing,"" which overwrites ""profession,"" for which you can add in TP*EG; and PR*ES for ""pressed."""	"A PING PONG (P-) player presses a REF (ref) to rig the game in his favor—but to his credit, the REF doesn't budge."		826				1 - NGSL	Top1K	674	339	4.000		4		5
686.00	whatever	WHAF	WHEF			"An ELEPHANT (E) takes a WHEF (whiff) of a dirty lake and says: ""Whatever! I'm not swimming in that."""		827				1 - NGSL	Top1K	675	33A	4.000		4		8
687.00	necessary	TPHES	SAER	"SAER overwrites ""sear,"" for which I added in SAOER, which overwrites one way to write ""seer."""		"It's necessary to SAER (sear) steaks hot enough to kill any bacteria. Otherwise, you may develop food poisoning and have to go to the ACCIDENT & EMERGENCY DEPARTMENT (AE)."	"To really understand the history of video games, it's necessary to play through the classics on the NES."	828				1 - NGSL	Top1K	676	33B	4.000		5		9
688.00	region	RAOEGS	RAO	"RAO overwrites one way to write ""rue."""		Fans generally RAO-t (root) for the team that plays in their region.		829				1 - NGSL	Top1K	677	33C	3.000		6		6
689.00	growth	TKPWRO*ET	TROT	"TROT is based on the addition of TRO for ""grow."" TROT overwrites ""trot,"" for which I added in TRO*T, which overwrites one way to write ""troth."""		A horse rider demonstrates significant growth when she moves from TROT-ing (trotting) to galloping.		830				1 - NGSL	Top1K	678	33D	4.000		9		6
690.00	evening	AOEPBG	*EPG		AOEFPBG	"EPG (everyone) enjoys watching the STARS (*) in the evening . . . except those who live in big cities, of course, who often can't see them very well. (EPG is an addition for ""everyone."")"		831				1 - NGSL	Top1K	679	33E	4.000		6		7
691.00	influence	WEPBS	WEPB	"W*EPB overwrites ""wen."" I also added in WEPBS for ""influences,"" which overwrites the original outline for ""influence""; WEPBG for ""influencing,"" which overwrites ""we think,"" for which I added in WEUPBG, which overwrites ""wing,"" for which I added in WAEP; and WEPBD for ""influenced,"" which overwrites one way to write ""Wednesday."""		William Cobbett once referred to London as The Great WEN (Wen—a wen is a type of cyst). Perhaps he was concerned about the growing influence London was having on the rest of England.	"If you want to influence people as a coach, you have to be someone who WEPBS (wins) games. Otherwise, why would people listen to you?"	832				1 - NGSL	Top1K	680	33F	4.000		5		9
692.00	respect	R-PT		"I also added in R-FPT for ""respective"" and R*FPT for ""respectful."""				833				1 - NGSL	Top1K	681	340	3.000		3		7
693.00	various	SRAEURS	SROS			"There are various reasons to visit VOS (Voss), Norway, but warm temperatures are not one of them."		834				1 - NGSL	Top1K	682	341	4.000		7		7
694.00	catch	KAFP						835				1 - NGSL	Top1K	683	342	4.000		4		5
